name1,name2,similarity
AL AMEEN TRUST,AL-AMEEN TRUST,1.0000000834465026
AL MADINA TRUST,AL-MADINA TRUST,0.9999998331069946
"AHMED, Abubakar","AHMED, Abubakar",1.0
ALHARAMAIN FOUNDATION,ALHARAMAIN FOUNDATION,0.9999999582767487
ALHARAMEIN FOUNDATION,ALHARAMEIN FOUNDATION,1.0
ALHARAMAYN FOUNDATION,ALHARAMAYN FOUNDATION,1.0000000834465026
AL-HARAMEIN ISLAMIC FOUNDATION,AL-HARAMEIN ISLAMIC FOUNDATION,0.9999998331069946
AL-HARAMAYN ISLAMIC FOUNDATION,AL-HARAMAYN ISLAMIC FOUNDATION,0.9999999165534972
ALHARAMAIN ISLAMIC FOUNDATION,ALHARAMAIN ISLAMIC FOUNDATION,1.0
ALHARAMEIN ISLAMIC FOUNDATION,ALHARAMEIN ISLAMIC FOUNDATION,0.9999999165534972
ALHARAMEIN ISLAMIC FOUNDATION,ALHARAMEIN ISLAMIC FOUNDATION,0.9999999165534972
ALHARAMEIN ISLAMIC FOUNDATION,ALHARAMEIN ISLAMIC FOUNDATION,0.9999999165534972
ALHARAMAYN ISLAMIC FOUNDATION,ALHARAMAYN ISLAMIC FOUNDATION,0.9999999582767487
AL-HARAMAIN HUMANITARIAN FOUNDATION,AL-HARAMAIN HUMANITARIAN FOUNDATION,1.0000000834465026
AL-HARAMAIN HUMANITARIAN FOUNDATION,AL-HARAMAIN HUMANITARIAN FOUNDATION,1.0000000834465026
AL-HARAMEIN HUMANITARIAN FOUNDATION,AL-HARAMEIN HUMANITARIAN FOUNDATION,1.0
AL-HARAMAYN HUMANITARIAN FOUNDATION,AL-HARAMAYN HUMANITARIAN FOUNDATION,1.0
MU'ASSASAT AL-HARAMAIN AL-KHAYRIYYA,MU'ASSASAT AL-HARAMAIN AL-KHAYRIYYA,1.0000001668930054
MU'ASSASAT AL-HARAMAIN AL-KHAYRIYYA,MU'ASSASAT AL-HARAMAIN AL-KHAYRIYYA,1.0000001668930054
MU'ASSASAT AL-HARAMAIN AL-KHAYRIYYA,MU'ASSASAT AL-HARAMAIN AL-KHAYRIYYA,1.0000001668930054
MU'ASSASAT AL-HARAMEIN AL-KHAYRIYYA,MU'ASSASAT AL-HARAMEIN AL-KHAYRIYYA,1.0
MU'ASSASAT AL-HARAMEIN AL-KHAYRIYYA,MU'ASSASAT AL-HARAMEIN AL-KHAYRIYYA,1.0
MU'ASSASAT AL-HARAMEIN AL-KHAYRIYYA,MU'ASSASAT AL-HARAMEIN AL-KHAYRIYYA,1.0
MU'ASSASAT AL-HARAMAYN AL-KHAYRIYYA,MU'ASSASAT AL-HARAMAYN AL-KHAYRIYYA,1.0
MU'ASSASAT AL-HARAMAYN AL-KHAYRIYYA,MU'ASSASAT AL-HARAMAYN AL-KHAYRIYYA,1.0
MU'ASSASAT AL-HARAMAYN AL-KHAYRIYYA,MU'ASSASAT AL-HARAMAYN AL-KHAYRIYYA,1.0
ALHARAMAIN,ALHARAMAIN,0.9999999582767487
ALHARAMEIN,ALHARAMEIN,1.0
AL RASHID TRUST,AL-RASHID TRUST,1.0
AL RASHEED TRUST,AL-RASHEED TRUST,1.0
"AL-FAWWAZ, Khalid","AL FAWWAZ, Khalid",1.0
"AL FAWWAZ, Khaled","AL-FAWWAZ, Khaled",1.0000000834465026
